work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,remote_type
2023,Executive,Full-time,Analytics Engineer,253600,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Scientist,259100,DE,50,US,Medium,Hybrid
2020,Senior,Full-time,Research Scientist,125200,GB,0,GB,Large,Onsite
2024,Executive,Full-time,Analytics Engineer,230000,NL,0,NL,Large,Onsite
2023,Entry-level,Contract,Analytics Engineer,100300,CA,0,CA,Large,Onsite
2022,Senior,Full-time,Machine Learning Engineer,188000,US,0,US,Small,Onsite
2024,Executive,Full-time,Data Scientist,389900,US,0,CH,Medium,Onsite
2021,Senior,Full-time,Data Scientist,168100,CA,100,CA,Medium,Remote
2021,Mid-level,Full-time,Data Engineer,101500,DE,100,DE,Medium,Remote
2024,Senior,Contract,Data Engineer,213300,US,0,US,Medium,Onsite
2023,Entry-level,Full-time,AI Engineer,131700,US,100,US,Large,Remote
2024,Mid-level,Full-time,Machine Learning Engineer,189900,US,0,US,Large,Onsite
2024,Mid-level,Part-time,AI Engineer,73600,DE,100,GB,Large,Remote
2021,Mid-level,Full-time,Data Analyst,36600,IN,0,IN,Large,Onsite
2023,Senior,Full-time,Data Analyst,168700,US,100,US,Medium,Remote
2023,Mid-level,Full-time,Data Analyst,33500,BR,50,BR,Large,Hybrid
2022,Entry-level,Freelance,Machine Learning Engineer,49700,NL,100,NL,Medium,Remote
2023,Senior,Full-time,Data Engineer,169400,GB,100,US,Small,Remote
2024,Mid-level,Full-time,Analytics Engineer,186800,US,0,US,Large,Onsite
2024,Senior,Full-time,Data Analyst,162800,US,0,US,Medium,Onsite
2020,Mid-level,Full-time,Machine Learning Engineer,108500,NL,0,NL,Medium,Onsite
2024,Senior,Full-time,Data Engineer,208300,US,50,US,Small,Hybrid
2022,Mid-level,Full-time,Data Scientist,129500,CA,50,CA,Medium,Hybrid
2024,Mid-level,Full-time,AI Engineer,200500,US,0,US,Medium,Onsite
2024,Mid-level,Full-time,Business Intelligence Analyst,116200,CA,100,CA,Small,Remote
2024,Senior,Full-time,AI Engineer,297000,US,100,US,Medium,Remote
2024,Senior,Full-time,Data Analyst,156800,US,0,US,Small,Onsite
2024,Executive,Full-time,Data Analyst,115200,ES,0,ES,Medium,Onsite
2021,Mid-level,Full-time,Research Scientist,132300,CA,100,US,Medium,Remote
2022,Mid-level,Full-time,Data Analyst,97900,US,100,US,Large,Remote
2023,Senior,Full-time,Data Analyst,187300,US,0,US,Large,Onsite
2024,Mid-level,Full-time,Data Scientist,176100,US,0,US,Large,Onsite
2020,Entry-level,Full-time,Data Scientist,79800,US,0,US,Medium,Onsite
2022,Senior,Full-time,Research Scientist,197300,CA,0,CA,Medium,Onsite
2023,Mid-level,Full-time,Data Scientist,139500,US,0,US,Small,Onsite
2024,Senior,Full-time,Data Engineer,236300,US,100,US,Large,Remote
2024,Senior,Full-time,Data Analyst,188500,US,0,US,Large,Onsite
2022,Entry-level,Full-time,Data Analyst,80000,US,0,US,Medium,Onsite
2023,Senior,Full-time,Business Intelligence Analyst,160200,US,50,US,Medium,Hybrid
2023,Mid-level,Full-time,Machine Learning Engineer,75900,PL,50,PL,Medium,Hybrid
2022,Mid-level,Full-time,Data Scientist,133100,GB,100,GB,Medium,Remote
2023,Mid-level,Freelance,Analytics Engineer,155100,US,100,US,Medium,Remote
2022,Senior,Full-time,Data Analyst,128200,US,100,US,Medium,Remote
2024,Mid-level,Full-time,Data Engineer,148100,US,100,US,Medium,Remote
2023,Mid-level,Full-time,Data Science Manager,152800,NL,0,NL,Medium,Onsite
2024,Senior,Full-time,Data Scientist,234600,US,0,US,Medium,Onsite
2024,Mid-level,Full-time,Business Intelligence Analyst,105300,IN,50,US,Small,Hybrid
2021,Entry-level,Full-time,Data Scientist,138500,DE,100,US,Medium,Remote
2024,Mid-level,Full-time,Machine Learning Engineer,244800,US,0,US,Large,Onsite
2022,Senior,Full-time,Data Scientist,165700,US,50,US,Medium,Hybrid
2022,Entry-level,Full-time,Data Scientist,68700,DE,0,DE,Large,Onsite
2023,Senior,Full-time,Machine Learning Engineer,261100,US,0,US,Medium,Onsite
2024,Senior,Full-time,Data Scientist,257000,US,0,US,Medium,Onsite
2021,Entry-level,Full-time,Data Science Manager,149000,CH,0,CH,Medium,Onsite
2023,Senior,Full-time,AI Engineer,129800,IN,0,IN,Large,Onsite
2024,Mid-level,Full-time,Analytics Engineer,54400,IN,50,IN,Large,Hybrid
2021,Executive,Full-time,Research Scientist,344300,US,50,US,Large,Hybrid
2024,Mid-level,Full-time,Data Analyst,101000,CA,0,CA,Medium,Onsite
2020,Entry-level,Full-time,Data Scientist,51500,FR,0,FR,Medium,Onsite
2024,Entry-level,Full-time,Data Scientist,115700,US,50,US,Large,Hybrid
2024,Mid-level,Full-time,Data Engineer,161700,US,50,US,Medium,Hybrid
2023,Senior,Full-time,Data Scientist,203300,US,0,US,Medium,Onsite
2024,Senior,Full-time,Business Intelligence Analyst,149000,CA,100,CA,Medium,Remote
2023,Entry-level,Full-time,Data Scientist,123400,US,0,US,Large,Onsite
2023,Senior,Full-time,AI Engineer,153800,US,0,DE,Small,Onsite
2024,Entry-level,Full-time,Data Engineer,144600,US,50,US,Medium,Hybrid
2023,Entry-level,Full-time,Data Analyst,57000,US,0,US,Small,Onsite
2022,Entry-level,Freelance,Machine Learning Engineer,110400,US,100,US,Large,Remote
2023,Senior,Full-time,Data Scientist,196900,CA,100,US,Medium,Remote
2024,Executive,Full-time,Data Engineer,272300,NL,0,NL,Large,Onsite
2023,Senior,Full-time,Business Intelligence Analyst,99800,PT,0,NL,Large,Onsite
2023,Entry-level,Full-time,Data Scientist,135000,US,50,US,Large,Hybrid
2023,Senior,Full-time,Data Engineer,187500,CA,100,CA,Large,Remote
2023,Mid-level,Full-time,Data Architect,97200,FR,100,FR,Medium,Remote
2024,Senior,Full-time,Research Scientist,178600,US,0,US,Medium,Onsite
2022,Mid-level,Full-time,AI Engineer,166500,US,100,US,Large,Remote
2023,Entry-level,Full-time,Machine Learning Engineer,89900,NL,50,NL,Large,Hybrid
2023,Executive,Full-time,Data Scientist,195900,US,0,FR,Large,Onsite
2023,Mid-level,Full-time,Data Scientist,128800,SG,50,SG,Large,Hybrid
2020,Mid-level,Contract,Data Analyst,106700,US,100,US,Large,Remote
2021,Mid-level,Full-time,Data Engineer,88800,US,50,DE,Medium,Hybrid
2021,Mid-level,Full-time,Data Engineer,127100,US,0,US,Large,Onsite
2022,Entry-level,Full-time,Data Analyst,69600,US,100,US,Large,Remote
2024,Mid-level,Full-time,Data Engineer,125600,GB,100,GB,Medium,Remote
2023,Senior,Full-time,Data Scientist,284100,US,100,US,Medium,Remote
2024,Senior,Full-time,Machine Learning Engineer,250300,GB,0,GB,Large,Onsite
2023,Entry-level,Full-time,Data Engineer,88500,CA,100,CA,Medium,Remote
2022,Senior,Full-time,Data Scientist,204700,US,0,US,Small,Onsite
2022,Entry-level,Full-time,Research Scientist,97200,US,0,CA,Medium,Onsite
2024,Senior,Full-time,Data Engineer,237400,US,0,US,Medium,Onsite
2024,Mid-level,Full-time,Data Engineer,228500,US,100,US,Large,Remote
2022,Senior,Full-time,Data Architect,197600,US,50,US,Medium,Hybrid
2024,Mid-level,Full-time,Business Intelligence Analyst,125700,CA,0,CA,Medium,Onsite
2022,Senior,Full-time,Analytics Engineer,136700,US,50,GB,Medium,Hybrid
2021,Mid-level,Full-time,Data Analyst,90300,US,50,US,Small,Hybrid
2020,Senior,Full-time,Data Analyst,70500,ES,0,ES,Medium,Onsite
2024,Mid-level,Full-time,Business Intelligence Analyst,107800,NL,50,US,Small,Hybrid
2021,Senior,Full-time,Data Analyst,132400,US,0,US,Large,Onsite
2020,Senior,Full-time,Data Architect,111000,ES,0,ES,Medium,Onsite
2022,Mid-level,Full-time,Data Scientist,148100,CH,50,CH,Medium,Hybrid
2022,Entry-level,Full-time,Research Scientist,124000,US,50,US,Large,Hybrid
2024,Executive,Full-time,Data Analyst,249100,US,100,US,Medium,Remote
2023,Mid-level,Full-time,Data Scientist,108400,FR,0,FR,Medium,Onsite
2024,Mid-level,Full-time,Machine Learning Engineer,120600,AU,0,AU,Small,Onsite
2022,Senior,Full-time,Business Intelligence Analyst,67900,PL,0,PL,Medium,Onsite
2023,Senior,Contract,Data Scientist,115000,PL,0,PL,Medium,Onsite
2023,Entry-level,Full-time,Data Analyst,55300,GB,100,GB,Medium,Remote
2023,Mid-level,Full-time,Data Engineer,116100,US,50,US,Medium,Hybrid
2024,Mid-level,Freelance,Machine Learning Engineer,194000,US,100,US,Medium,Remote
2023,Entry-level,Full-time,Business Intelligence Analyst,29800,ES,100,ES,Small,Remote
2022,Senior,Full-time,Data Engineer,195400,US,100,US,Medium,Remote
2020,Senior,Full-time,Business Intelligence Analyst,159900,US,100,US,Medium,Remote
2022,Mid-level,Full-time,Data Engineer,168300,US,100,US,Large,Remote
