work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,EX,FT,Analytics Engineer,253600.0,US,100.0,US,M
2022,SE,FT,Data Scientist,259100.0,DE,50.0,US,M
2020,SE,FT,Research Scientist,125200.0,GB,0.0,GB,L
2024,EX,FT,Analytics Engineer,230000.0,NL,0.0,NL,L
2021,SE,FT,Data Analyst,,US,0.0,US,M
2023,EN,CT,Analytics Engineer,100300.0,CA,0.0,CA,L
2022,SE,FT,Machine Learning Engineer,188000.0,US,0.0,US,S
2024,EX,FT,Data Scientist,389900.0,US,0.0,CH,M
2021,SE,FT,Data Scientist,168100.0,CA,100.0,CA,M
2021,MI,FT,Data Engineer,101500.0,DE,100.0,DE,M
2024,SE,CT,Data Engineer,213300.0,US,0.0,US,M
2023,EN,FT,AI Engineer,131700.0,US,100.0,US,L
2024,MI,FT,Machine Learning Engineer,189900.0,US,0.0,US,L
2024,MI,PT,AI Engineer,73600.0,DE,100.0,GB,L
2021,MI,FT,Data Analyst,36600.0,IN,0.0,IN,L
2023,SE,FT,Data Analyst,168700.0,US,100.0,US,M
2023,MI,FT,Data Analyst,33500.0,BR,50.0,BR,L
2022,EN,FL,Machine Learning Engineer,49700.0,NL,100.0,NL,M
2023,SE,FT,Data Engineer,169400.0,GB,100.0,US,S
2024,MI,FT,Analytics Engineer,186800.0,US,0.0,US,L
2024,SE,FT,Data Analyst,162800.0,US,0.0,US,M
2020,MI,FT,Machine Learning Engineer,108500.0,NL,0.0,NL,M
2024,SE,FT,Data Engineer,208300.0,US,50.0,US,S
2022,MI,FT,Data Scientist,129500.0,CA,50.0,CA,M
2024,MI,FT,AI Engineer,200500.0,US,0.0,US,M
2024,MI,FT,Business Intelligence Analyst,116200.0,CA,100.0,CA,S
2024,SE,FT,AI Engineer,297000.0,US,100.0,US,M
2024,SE,FT,Data Analyst,156800.0,US,0.0,US,S
2024,EX,FT,Data Analyst,115200.0,ES,0.0,ES,M
2021,MI,FT,Research Scientist,132300.0,CA,100.0,US,M
2022,MI,FT,Data Analyst,97900.0,US,100.0,US,L
2023,SE,FT,Data Analyst,187300.0,US,0.0,US,L
2024,MI,FT,Data Scientist,176100.0,US,0.0,US,L
2020,EN,FT,Data Scientist,79800.0,US,0.0,US,M
2022,SE,FT,Research Scientist,197300.0,CA,0.0,CA,M
2023,MI,FT,Data Scientist,139500.0,US,0.0,US,S
2024,SE,FT,Data Engineer,236300.0,US,100.0,US,L
2024,SE,FT,Data Analyst,188500.0,US,0.0,US,L
2022,EN,FT,Data Analyst,80000.0,US,0.0,US,M
2023,SE,FT,Business Intelligence Analyst,160200.0,US,50.0,US,M
2023,MI,FT,Machine Learning Engineer,75900.0,PL,50.0,PL,M
